"year","endowment","enrollment","per_student","endowment1","faculty","per_faculty_member"
1999,435541794,1652,263645,435541793.97,152,2865406.53927632
2000,502842801,1679,299489,502842800.75,153,3286554.25326797
2001,467829553,1673,279635,467829553.49,153,3057709.49993464
2002,419173625,1644,254972,419173624.61,154,2721906.65331169
2003,400619058,1712,234006,400619057.89,158,2535563.65753165
2004,454671081,1714,265269,454671081.24,158,2877665.07113924
2005,506063388,1683,300691,506063388.1,159,3182788.60440252
2006,541785214,1667,325006,541785213.74,162,3344353.17123457
2007,610433448,1664,366847,610433448.02,164,3722155.17085366
2008,613288483,1668,367679,613288483.42,166,3694508.93626506
2009,456240342,1743,261756,456240341.97,163,2799020.50288344
2010,512021847,1742,293928,512021847.26,167,3065999.08538922
2011,590935426,1756,336524,590935425.88,162,3647749.54246914
2012,574979766,1790,321218,574979765.65,170,3382233.91558824
2013,627431272,1788,350912,627431272.13,174,3605926.85132184
2014,710347888,1770,401326,710347887.95,179,3968423.95502793
2015,745426067,1784,417840,745426067,176,4235375.38068182
2016,713902276,1796,397496,713902276.3,185,3858931.22324324
2017,771194621,1810,426074,771194620.8,188,4102099.04680851
2018,846990293,1843,459572,846990292.56,196,4321379.04367347
2019,892340575,1837,485760,892340574.54,203,4395766.37704434
2020,905857948,1983,456812,905857948.3,202,4484445.28861386
